Filename,Binding_Affinity
output_0_hsp90_fragments_,-8.7
output_10_hsp90_fragments_,-8.0
output_11_hsp90_fragments_,-6.5
output_12_hsp90_fragments_,-7.2
output_13_hsp90_fragments_,-9.8
output_14_hsp90_fragments_,-6.9
output_15_hsp90_fragments_,-7.6
output_16_hsp90_fragments_,-6.6
output_17_hsp90_fragments_,-6.6
output_18_hsp90_fragments_,-9.0
output_19_hsp90_fragments_,-9.1
output_1_hsp90_fragments_,-9.2
output_20_hsp90_fragments_,-8.5
output_21_hsp90_fragments_,-9.4
output_22_hsp90_fragments_,-9.4
output_23_hsp90_fragments_,-9.7
output_24_hsp90_fragments_,-8.0
output_25_hsp90_fragments_,-8.0
output_26_hsp90_fragments_,-7.8
output_27_hsp90_fragments_,-7.9
output_28_hsp90_fragments_,-9.0
output_29_hsp90_fragments_,-7.6
output_2_hsp90_fragments_,-6.6
output_30_hsp90_fragments_,-9.4
output_31_hsp90_fragments_,-9.9
output_32_hsp90_fragments_,-9.8
output_33_hsp90_fragments_,-9.8
output_34_hsp90_fragments_,-6.6
output_35_hsp90_fragments_,-6.5
output_36_hsp90_fragments_,-9.8
output_37_hsp90_fragments_,-8.0
output_38_hsp90_fragments_,-8.7
output_39_hsp90_fragments_,-6.5
output_3_hsp90_fragments_,-7.9
output_40_hsp90_fragments_,-7.2
output_41_hsp90_fragments_,-7.9
output_42_hsp90_fragments_,-9.7
output_43_hsp90_fragments_,
output_44_hsp90_fragments_,-6.5
output_45_hsp90_fragments_,-9.7
output_46_hsp90_fragments_,-9.4
output_47_hsp90_fragments_,-7.4
output_48_hsp90_fragments_,-7.3
output_49_hsp90_fragments_,-9.9
output_4_hsp90_fragments_,-7.8
output_5_hsp90_fragments_,-7.7
output_6_hsp90_fragments_,-7.1
output_7_hsp90_fragments_,-6.6
output_8_hsp90_fragments_,-9.0
output_9_hsp90_fragments_,-8.9
